,State,COCS,TotalVouchers,state,totalHomeless
0,AK,2,2320,AK,194.0
1,AL,8,3752,AL,546.0
2,AR,5,2459,AR,379.0
3,AS,0, ,AZ,1215.0
4,AZ,3,13553,CA,17066.0
5,CA,44,171521,CO,1023.0
6,CO,4,10397,CT,548.0
7,CT,2,2930,DC,707.0
8,DC,1,4410,DE,120.0
9,DE,1,2369,FL,3168.0
10,FL,27,25959,GA,1389.0
11,GA,9,10689,GQ,87.0
12,GU,1,1087,HI,708.0
13,HI,2,5967,IA,363.0
14,IA,3,2419,ID,217.0
15,ID,2,1998,IL,2108.0
16,IL,19,9212,IN,723.0
17,IN,2,5449,KS,375.0
18,KS,5,2397,KY,567.0
19,KY,3,3984,LA,616.0
20,LA,7,7373,MA,1780.0
21,MA,12,15507,MD,808.0
22,MD,11,5349,ME,180.0
23,ME,1,4411,MI,1079.0
24,MI,20,8206,MN,921.0
25,MN,10,7917,MO,785.0
26,MO,8,5992,MS,381.0
27,MP,1,1207,MT,125.0
28,MS,3,1196,NC,1296.0
29,MT,1,1585,ND,101.0
30,NC,12,9382,NE,272.0
31,ND,1,610,NH,147.0
32,NE,3,2246,NJ,1595.0
33,NH,3,1605,NM,288.0
34,NJ,16,8752,NV,770.0
35,NM,2,2560,NY,9910.0
36,NV,3,7618,OH,1522.0
37,NY,24,74178,OK,463.0
38,OH,9,10654,OR,1582.0
39,OK,8,3754,PA,1804.0
40,OR,8,17959,RI,159.0
41,PA,16,12691,RQ,596.0
42,PR,2,2215,SC,529.0
43,RI,1,1577,SD,113.0
44,SC,4,3608,TN,906.0
45,SD,1,1389,TQ,132.0
46,TN,10,10567,TX,4517.0
47,TX,11,24432,UT,384.0
48,UT,3,3557,VA,1023.0
49,VA,16,6529,VQ,20.0
50,VI,1,175,VT,99.0
51,VT,2,2780,WA,2443.0
52,WA,6,25211,WI,715.0
53,WI,4,4775,WV,193.0
54,WV,4,1375,WY,57.0
55,WY,1,648,,
56,Total,387,582462,,
