,"Overall Homeless, 2008","Overall Homeless, 2009","Overall Homeless, 2010","Overall Homeless, 2011","Overall Homeless, 2012","Overall Homeless, 2013","Overall Homeless, 2014","Overall Homeless, 2015","Overall Homeless, 2016","Overall Homeless, 2017","Overall Homeless, 2018","Overall Homeless, 2019","Overall Homeless, 2020","Overall Homeless, 2021","Overall Homeless, 2022",State
0,1646.0,1992.0,1863.0,2128.0,1913.0,1946.0,1784.0,1956.0,1940.0,1845.0,2016.0,1907.0,1949.0,1949.0,2320.0,AK
1,5387.0,6080.0,6046.0,5558.0,5209.0,4689.0,4561.0,3970.0,4111.0,3793.0,3434.0,3261.0,3351.0,2556.0,3752.0,AL
2,3255.0,2852.0,2762.0,3424.0,4214.0,3812.0,2936.0,2560.0,2463.0,2467.0,2712.0,2717.0,2366.0,2139.0,2459.0,AR
4,12488.0,14721.0,13711.0,10504.0,11302.0,10562.0,10495.0,9896.0,9707.0,8947.0,9865.0,10007.0,10979.0,5460.0,13553.0,AZ
5,136531.0,123678.0,123480.0,125128.0,120098.0,118552.0,113952.0,115738.0,118142.0,131532.0,129972.0,151278.0,161548.0,57468.0,171521.0,CA
6,14747.0,15268.0,15482.0,15116.0,16768.0,9754.0,10028.0,9953.0,10550.0,10940.0,10857.0,9619.0,9846.0,8544.0,10397.0,CO
7,4627.0,4605.0,4316.0,4456.0,4209.0,4448.0,4450.0,4047.0,3902.0,3388.0,3976.0,3033.0,2905.0,2593.0,2930.0,CT
8,6044.0,6228.0,6539.0,6546.0,6954.0,6865.0,7748.0,7298.0,8350.0,7473.0,6904.0,6521.0,6380.0,5111.0,4410.0,DC
9,933.0,1130.0,982.0,1035.0,1008.0,946.0,901.0,953.0,1070.0,994.0,1082.0,921.0,1165.0,1579.0,2369.0,DE
10,50158.0,55599.0,57551.0,56687.0,55170.0,47862.0,41542.0,35900.0,33559.0,32190.0,31030.0,28328.0,27487.0,21121.0,25959.0,FL
11,19095.0,20360.0,19836.0,20975.0,20516.0,16971.0,16521.0,13790.0,12909.0,10174.0,9499.0,10443.0,10234.0,5486.0,10689.0,GA
12,725.0,1088.0,1635.0,1745.0,1301.0,1271.0,1356.0,1280.0,1085.0,852.0,854.0,875.0,790.0,199.0,1087.0,GU
13,6061.0,5782.0,5834.0,6188.0,6246.0,6335.0,6918.0,7620.0,7921.0,7220.0,6530.0,6412.0,6458.0,2490.0,5967.0,HI
14,3346.0,3380.0,3014.0,3134.0,2928.0,3084.0,3122.0,3081.0,3064.0,2756.0,2749.0,2315.0,2647.0,2534.0,2419.0,IA
15,1464.0,1939.0,2346.0,2199.0,1968.0,1781.0,2104.0,1966.0,2247.0,2037.0,2012.0,2315.0,2315.0,1889.0,1998.0,ID
16,14724.0,14055.0,14395.0,14009.0,14144.0,13425.0,13107.0,13177.0,11590.0,10798.0,10643.0,10199.0,10431.0,7958.0,9212.0,IL
17,7395.0,6984.0,6452.0,6196.0,6259.0,6096.0,5971.0,5863.0,5798.0,5438.0,5258.0,5471.0,5625.0,4975.0,5449.0,IN
18,1738.0,1892.0,2024.0,2511.0,2684.0,2693.0,2783.0,2588.0,2255.0,2287.0,2216.0,2381.0,2449.0,1803.0,2397.0,KS
19,8137.0,5999.0,6623.0,6034.0,5230.0,5245.0,5089.0,4538.0,4237.0,4025.0,3688.0,4079.0,4011.0,2544.0,3984.0,KY
20,5481.0,12504.0,12482.0,9291.0,7772.0,5226.0,4606.0,4081.0,3994.0,3305.0,3059.0,2941.0,3173.0,2131.0,7373.0,LA
